"Name","Company","State","City","Salary","Location","Url","Posted Date"
"Intern - QL Test Engineering"," Continental Corporation  ","MI","Auburn Hills","$48k-$55k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=283198&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_68ad73ca&cb=1543699492395&jobListingId=3025744576"," 16 days ago"
"Industrial Engineer for Logistics"," Continental Corporation  ","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f2e7862b&cb=1543699492396&jobListingId=3024699868"," 17 days ago"
"Raw Material Planner/Buyer"," Continental Corporation  New","MI","Clinton","","Clinton, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_92860965&cb=1543699492397&jobListingId=3039936749","7 days ago"
"Hybrid and Electric Powertrain Controls Software Engineer"," Continental Corporation  ","MI","Auburn Hills","$62k-$102k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f96196fc&cb=1543699492398&jobListingId=3024546235"," 17 days ago"
"Systems Applications Engineer"," Continental Corporation  ","MI","Auburn Hills","$58k-$88k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_5cddadb7&cb=1543699492399&jobListingId=3024684387"," 17 days ago"
"Intern - Engineering, Summer"," Continental Corporation  ","MI","Auburn Hills","$40k-$58k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=283198&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_7d21975c&cb=1543699492400&jobListingId=3025486773"," 17 days ago"
"Intern - Engineering, Passive Safety Algorithm"," Continental Corporation  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=283198&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_c7970f1d&cb=1543699492401&jobListingId=3025754841"," 16 days ago"
"Intern - Trade Compliance Analyst"," Continental Corporation  ","MI","Auburn Hills","$37k-$51k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_44a69128&cb=1543699492403&jobListingId=3024707767"," 17 days ago"
"Intern - Functions Development, Summer"," Continental Corporation  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=283198&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_f807726c&cb=1543699492404&jobListingId=3025494776"," 17 days ago"
"Account Manager (Electronic Brake Systems - FCA)"," Continental Corporation  ","MI","Auburn Hills","","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=283198&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_71b00c6a&cb=1543699492405&jobListingId=3025329256"," 17 days ago"
"CES - Basic Software Engineer (BSW - Low Level Programming)"," Continental Corporation  ","MI","Auburn Hills","$62k-$102k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_222b8518&cb=1543699492406&jobListingId=3024655257"," 17 days ago"
"Intern - QL - Validation Engineer"," Continental Corporation  ","MI","Auburn Hills","$46k-$66k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_e3f0cd36&cb=1543699492407&jobListingId=3024566975"," 17 days ago"
"Senior Staff Electrical Engineer"," Continental Corporation  ","MI","Auburn Hills","$75k-$119k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_6b20b2b6&cb=1543699492409&jobListingId=3042314536","7 days ago"
"Software Engineer - Customer Integration"," Continental Corporation  ","MI","Auburn Hills","$62k-$102k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_16ff1bf8&cb=1543699492410&jobListingId=3029984260"," 12 days ago"
"Senior Staff System Engineer - eDrives"," Continental Corporation  ","MI","Auburn Hills","$78k-$151k","Auburn Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_3b361f53&cb=1543699492411&jobListingId=3024562269"," 17 days ago"
"Head of Sales - Air Induction Systems / Heating and Cooling Systems"," Continental Corporation  ","MI","Rochester Hills","","Rochester Hills, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=189299&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_a0278f6e&cb=1543699492412&jobListingId=3024691613"," 17 days ago"
"HEV Electrical Engineer: Hardware Technical Project Leader"," Continental Corporation  ","MI","Dearborn","$60k-$97k","Dearborn, MI","https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=182894&s=58&guid=000001676ba8ecec897897bb8841e192&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&rtp=0&cs=1_2e0659c5&cb=1543699492413&jobListingId=3035951887"," 5 days ago"
